epoch,train_loss,val_loss,train_acc,val_acc
1,0.9314857925239363,0.621238071294058,67.1962926183383,78.516228748068
2,0.5121069646195362,0.5060705684480213,84.01191658391261,82.38021638330757
3,0.4345948349488409,0.48677494696208407,85.63389606090699,82.38021638330757
4,0.3908800959587097,0.4288944218839918,86.26282687851705,84.23493044822257
5,0.34833986225881075,0.4146817397503626,88.24892419728566,83.15301391035548
6,0.3269819345913435,0.4066681429034188,89.24197285666997,85.00772797527048
7,0.3228634122955172,0.4076029197091148,89.17576961271102,84.85316846986089
8,0.2986336906489573,0.3995906490655172,89.44058258854683,85.47140649149922
9,0.3012226483539531,0.3850966188169661,89.97020854021847,85.47140649149922
10,0.29562489931520664,0.4000154407251449,89.30817610062893,85.93508500772798
